Topic,Question,Proposition 1,Proposition 2,Proposition 3
Il était une fois les sciences,C'est qui les frères Lumière?,Les inventeurs de la radio,Les inventeurs de la photo,Les inventeurs du cinéma
Il était une fois les sciences,Qui est l'inventeur du premier vaccin?,Louis Pasteur,Albert Einstein,Gustave Eiffel
Il était une fois les sciences,Qui est la célèbre scientifique qui a reçu deux prix Nobel?,Rosalind Franklin,Marie Curie,Mileva Maric
Robots intelligents,Lequel de ces objets n'est pas un robot?,Un drone,Un aspirateur autonome,Une voiture
Robots intelligents,De quoi est composé un robot?,Des composantes électroniques et un programme informatique,Des composantes électroniques seulement,Un programme informatique seulement
Robots intelligents,Un robot peut-il apprendre des choses?,"Oui, mais d'une seule façon","Non, c'est juste une machine","Oui, et de plusieurs façons"
Le monde des animaux,Où se trouve la majorité des pandas du monde?,La Chine,L'afrique du sud,Le Brésil
Le monde des animaux,Pourquoi les oiseaux migrent-ils?,Pour chercher de la nourriture,Ils ne supportent pas le froid de l'hiver,Par ennui
Le monde des animaux,Qu'est ce qu'un T-Rex?,Un bébé dinosaure ,Un dinosaure affaibli,Un dinosaure super puissant
L'univers,Qu'est ce que le soleil?,Une étoile,Une petite planète,La plus grande planète
L'univers,Combien y a-t-il de planètes dans notre système solaire ?,Une seule,8,100.000
L'univers,Qu'est ce qu'une galaxie?,La plus grande étoile de l'Univers,Un ensemble d'étoiles,La plus grande planète de l'univers
Protéger la nature,Qu'est ce qui permet de créer de l'énergie avec l'eau?,Les éoliennes,Les moteurs des bateaux,Les moulins
Protéger la nature,Pourquoi les banquises sont-elles en train de fondre ?,Parce qu'il y'a eu un tremblement de terre,Les ours blancs les mangent,La pollution fait augmenter les températures
Protéger la nature,Qu'appelle-t-on un déchet qui se détruit tout seul?,Biodégradable,Autonome,Renouvelable
Sports,Qu'est ce que les jeux paralympiques?,Les sports d'hiver,Sports pour les personnes en situation d'handicap,Sports pas très connus
Sports,Quel est le sport le plus populaire au monde?,Le basketball,Le football,Le football américain
Sports,Qu'est ce que les e-sports?,Des compétitions de jeux vidéos,Des compétitions d'internet,Des compétitions de programmation de jeux vidéos