Topic,Texte,Image,Question 1,,,,Question 2,,,
,,,Starter ,Prompt 1,Prompt 2,Prompt 3,Starter ,Prompt 1,Prompt 2,Prompt 3
Il était une fois la science,"Marie Curie est une savante exceptionnelle. Née en Pologne, elle fait ses études à la faculté des sciences de Paris. Marie fait partie des rares femmes qui y sont admises. C’est là qu’elle rencontre Pierre Curie, avec qui elle se marie. Ensemble, ils travaillent sur l’étude des rayons X et découvrent deux éléments radioactifs : le polonium et le radium. En 1903, le couple reçoit le prix Nobel de physique. Pendant la Première Guerre mondiale, elle met en place des ambulances équipées d’appareils de radiologie, ce qui permet de sauver de nombreux blessés. Marie Curie est la première femme à avoir reçu un prix Nobel pour ses découvertes. Elle en a même reçu deux, l’un avec Pierre Curie en physique, et l’autre pour ses recherches en chimie. ",,Quel(le),Voir ce qu'il y'a à l'intérieur de la matière,Première femme professeure à la Sorbonne,Ils peuvent causer des maladies,Comment,Voir l'anomalie dans le coprs d'un malade,"""Petites Curies""",Un cancer
Il était une fois la science,"Albert Einstein est un savant hors du commun, indiscipliné et brillant. Il est
considéré comme l’un des plus grands scientifiques du XXe siècle. Il est
également connu pour ses idées pacifiques.
Mauvais élève quand il était petit, Albert se démarque vite par ses recherches. 
Il obtient son diplôme de l’École polytechnique de Zurich, en Suisse, et reçoit
ensuite le prix Nobel de physique pour ses découvertes. Dans les années 1930,
la situation politique en Allemagne se dégrade. Einstein, d’origine juive, quitte
l’Europe pour les États-Unis et y devient professeur. 
À son grand désespoir, ce pays se sert de ses recherches pour créer et utiliser 
la première bombe atomique.",,Comment,Il apprenait les mathématiques tout seul,Il s'est enfui,Avec beaucoup de respect,Quel(le),Comprendre l'origine du monde ,Le Japon,L'utiliser pour gagner des guerres
Il était une fois la science,"Louis Pasteur naît en 1822. Après ses études, il devient professeur de physique-chimie à Dijon, puis à Strasbourg. En 1865, il découvre une façon de conserver les aliments plus longtemps : on appelle cela la pasteurisation. Dans les années 1880, alors qu’il combat le choléra chez les animaux, il lui vient une idée géniale : innoculer en petite quantité la maladie pour que le corps renforce sa capacité à se défendre. Il invente ainsi le principe de la vaccination. Il recommence l’expérience lorsqu’un petit garçon atteint de rage arrive dans son laboratoire. C’est un succès ! En 1888, Pasteur ouvre un institut dédié à la vaccination et à la recherche. Très vite, d’autres instituts ouvrent dans le monde entier.",,Comment,Chauffer puis refroidir brusquement,Une personne très discrète,Il s'appuyait sur d'autres idées scientifiques,Quel(s),Des echecs ,Arreter la contagion d'une maladie,Troubles comportementaux
Il était une fois la science,"Alan Turing est né en 1912 à Paddington. Alan Mathison Turing est un célèbre mathématicien. Élève surdoué et précoce, son génie est vite repéré par ses proches et ses professeurs : il aurait appris à lire seul en trois semaines. Pendant la Seconde Guerre mondiale, Turing a travaillé sur le déchiffrement des messages allemands, permettant ainsi aux Alliés de remporter des batailles importantes. Turing est aussi un pionnier de l'informatique. Il a étudié l'intelligence artificielle et travaillé sur les premiers ordinateurs. Il a élaboré le test de Turing, une méthode qui permet de vérifier qu'un programme est capable de simuler les réponses d'un être humain sans que celui-ci se rende compte qu'il parle avec un ordinateur.",,Quel(s),Un algorithme qui peut jouer aux échecs,Anglaise,"Royaume-Uni, France et Etats-Unis",Comment,La machine de Turing,Le père des machines intelligentes,Deux ans de guerre de moins
Il était une fois la science,"Gustave Eiffel, né sous le nom de Bönickhausen en décembre 1832 à Dijon et mort le en décembre 1923 à Paris, est un ingénieur français. Ayant échoué à l'oral du concours d'entrée à l'École polytechnique, il suit les cours de l'École centrale des arts et manufactures où il obtient son diplôme d'ingénieur. Il travaille tout d'abord dans la construction des chemins de fer. A 26 ans, il dirige la construction du pont de Bordeaux. En 1864, il installe ses ateliers à Levallois-Perret prés de Paris.  Il deviendra ensuite un pionnier de l'architecture métallique. Il a notamment construit : le viaduc Maria Pia, à Porto, au Portugal (1877) ; le viaduc de Garabit, dans le Cantal, en France (1884) ; la structure métallique de la statue de la Liberté (1886) ; la tour Eiffel (de 1887 à 1889).",,Pourquoi,Connecter les deux rives,Un cadeau,Une compétition,Combien,10.000 tonnes,250 millions de personnes,2 ans et 5 mois
Il était une fois la science,"Rosalind Franklin est née en 1920, elle est pionnière britannique de la biologie moléculaire, a découvert la structure de l'acide désoxyribonucléique (ADN). Élève brillante, Rosalind Franklin intègre à 11 ans un des seuls établissements de Londres où la physique et la chimie sont enseignées aux jeunes filles. Dès 1956, la santé de Rosalind Franklin se dégrade en raison des suites d'un cancer. Après plusieurs traitements, elle décède finalement à Londres,à seulement 38 ans. En 1962,ce sont ses collègues James Watson,Francis Crick et Maurice Wilkins qui obtiennent le prix Nobel pour la découverte de la structure à double hélice de l'ADN sans citer Rosalind Franklin. Rosalind Franklin, malgré son rôle primordial, ne sera malheureusement pas récompensée ou à titre posthume.",,Quel(e),Transmet les informations héréditaires des parents aux enfants,Une molécule,Garde dans l'armée,Pourquoi,Sur-esxposée à des rayons dangereux,Ses collègues ont nié sa participation à la découverte,Elle a aussi découvert un virus
Robots intelligents,"Un robot est une machine qui interagit avec ce qui l'entoure. Comment y arrive-t-il? Grace à un programme informatique mis au point par un ingénieur, qui définit comment il doit réagir à ce qu'il détecte autour de lui. Un robot possède des capeturs pour percevoir des objets, des couleurs ou des sons, et des moteurs pour bouger. Le robot prend en compte ce qui se passe autour de lui, alors qu'un automate ne fait qu'éxécuter des mouvements définis à l'avance, sans pouvoir s'adapter aux évènements extérieurs. Il existe une multitude de robots diffèrents, avec des formes et des tailles très variées, adaptées à ce qu'on veut qu'ils fassent.",,Où,Dans sa mémoire,Des milieux dangereux,Toutes les industries,Qu'est ce qu',Une caméra par exemple,Un actionneur,Un système qui reproduit une séquence d'actions
Robots intelligents,"Un robot possède une partie ordinateur qui lui sert de cerveau. On y trouve le processeur (qui fait les calculs) et la mémoire contenant un programme informatique. Ces élèments lui permettent de controler son comportement: ils calculent quelle action doit etre réalisée quand ses capteurs détectent des situations diverses. Sa partie ordinateur ne suffit pas de le rendre intelligent. Il lui faut aussi un corps adapté pour agir efficacement dans son environnement. Certains robots sont en plus capables de mémoriser, de résoudre des problèmes, d'apprendre ou de répondre lorsqu'on leur parle. Il y a donc dans les robots différentes formes d'intelligence artificielle.",,Quel,Enregistre les données importantes,Transmettent les données au processeur,Il effectue l'action,Comment,Via un programme informatique,Il cherche dans sa mémoire s'il a la réponse,On leur apprend les solutions à ces problèmes
Robots intelligents,"Un robot peut apprendre de plusieurs manières! Il peut apprendre par essai-erreur en testant plusieurs solutions possibles pour résoudre le problème et en gardant la meilleure. On parle alors d'apprentissage par renforcement. Il peut aussi apprendre par imitation, en mémorisant par exemple l'association entre un mot et une image. Il peut encore apprendre en écoutant les instructions qu'on lui donne en parlant et en les mémorisant. Quand il voit une nouvelle situation, il cherche dans sa mémoire s'il en a déjà vu une semblable. Si oui, il fait alors ce qui avait fonctionné avant.",,Qu'est ce qui,Il fait une action au hasard,Faire beaucoup d'essais,Son programme informatique ,Combien,Des jours ,Beaucoup de données, 5000 fois à peu prés
Robots intelligents,"Certains robots sont faits pour explorer leur environnement et expérimenter par eux-memes des choses, par exemple, trouver comment faire bouger des objets autour d'eux. Les ingénieurs qui les développent leur donnent une sorte de curiosité. Quand ils découvrent quelque chose de possible à faire, ils essaient plusieurs fois pour mieux y arriver. Ces robots peuvent meme réaliser que pour avoir une bonne connaissance des actions possibles avec ces objets, il leur manque des informations; et alors ils explorent encore davantage pour les obtenir.",,Comment,Grace à sa mémoire,Son programme informatique,On lui dit s'il a tort,Pourquoi,Il est motivé par un but ,Il apprendra plus de choses,Il sera plus autonome
Robots intelligents,"Il est important de définir des règles pour éviter les mauvais usages des robots. Les ingénieurs sécurisent un robot en éliminant sa force ou en vérifiant la qualité de son programme informatique. Ils vérifient aussi le bon fonctionnement de ses composants électroniques. Pour éviter les mauvais surprises, ils mettent plusieurs systèmes de controle qui prennent le relais si certains viennent à mal fonctionner. Dans les avions les systèmes sont doublés, dans les fusées et les navettes spatiales, parfois triplés, et dans les centrales nucléaires quadriplés !",,Que,Des accidents mortels,Entrainer l'humain à bien l'utiliser,Des matériaux adaptés,Comment,Ajouter des boutons d'arret d'urgence,Respecter les normes de sécurité,Laisser des distances de sécurité
Robots intelligents,"Il est difficile de prévoir comment vont évoluer les robots. Mais une chose est sure, ils deviendront ce que les hommes voudront qu'ils deviennent puisque ce sont eux qui les controlent. Ils seront de plus en plus nombreux, de plus en plus perfectionnés, sans doute présents dans tous les domaines, et les hommes travailleront avec eux. Des formes variées apparaitront: on verra des robots en un seul morceau ou des robots en plusieurs parties communiquant entre elles, des robots miniatures ou des robots énormes qui fabriqueront des maisons par exemple. Et il sera essentiel de bien les controler.",,Est-ce que,Les humains resteront indispensables,30.000 fois plus puissants,"Oui, et ils pourront meme nous vaincre",Pourquoi,Des programmes informatiques plus puissants,Ils facilitent la vie des humains,"Ils peuvent détruire des choses, sinon"
Le monde des animaux,"Est ce que les animaux parlent? Coa Coa Coa ... Rrraak Rraak .. Kyik Kyik Kyik Kyik ... En foret, particulièrement en foret tropicale, c'est frappant: quelle que soit l'heure de la journée, il y'a toujours un habitant pour donner de la voix. Des grenouilles qui coassent, des singes qui piaillent... Les animaux s'expriment, c'est une évidence. Mais pour se dire quoi? A vrai dire, pas tant de choses que ça. Qu'il s'agisse de séduire un partenaire amoureux, de tenir à distance un rival ou encore de lancer une alerte en cas de danger, il faut bien reconnaitre que leurs ""conversations"" sont assez basiques. Rien à voir avec les possibilités infinies du language humain! ",,Y-a t-il,Les girafes,Communication visuelle,Demander de l'aide,Pourquoi,Les humains ont plus de besoins,Retrouver un ami,Pour les protéger
Le monde des animaux,"Le langage chez les Mones de Campbell? Le Mone de Campbell est un petit singe du Cote d'Ivoire. En langage mone, les alertes hok et krak signifient ""aigle"" et ""léopard"". Seulement, ajoutez un ""oo"" à la fin et cette fois, il faut comprendre ""danger dans les arbres"" (hok-oo), et ""danger au sol"" (krak-oo). Maintenant, combinez les krak-oo avec des boom, ça donne ""attention, chute de branches ou de troncs d'arbre""!  Aussi, autre que ""aigle"" et ""léopard"", les mones poussent un autre son particulier quand quelqu'un qu'ils ne connaissent pas s'approche de leur cage. C'est un cri d'alerte qui signale la présence d'un humain!",,Comment,Des observations pendant 2 ans,25 cris successifs,Ils laissent des délais de réponses,Qui,Des chercheurs ivoiriens,Seulement leurs semblables,Les singes males 
Le monde des animaux,"Le B.A.-BA du langage élèphant ""Salut vous m'avez manqué!"" Chez les élèphants, la famille c'est sacré! quand ils se retrouvent aprés une longue séparation, ils manifestent leur joie en émettant un ""grognement de bienvenue"", tout en battant des oreilles et se caressant de la trompe. En meme temps, ils urinent, défèquent et tournent sur eux-meme. Quand une éléphante estime qu'il est temps de bouger, elle se tourne dans la direction qu'elle veut prendre, lève un pied à battre des oreilles et emet le grognement ""On y va!"". La femelle répète génèralement ce signal plusieurs fois jusqu'à convaincre sa tribu.",,Pourquoi,Ils négocient avant,Ils sont très bas,Pour chercher de l'eau,Comment ,Par la trompe,Par le toucher,Ils peuvent les entendre depuis 5 kilomètres
Le monde des animaux,"Comment communiquent les abeilles? Les abeilles exécutent une danse lorsqu'elles veulent indiquer à leur collègues la position d'une source de nectar. La rectruteuse exécute une chorégraphie en forme de huit sur les rayons verticaux de la ruche. Si l'abeille parcourt l'axe du huit de bas en haut, c'est qu'il faut partir face au soleil; si elle le fait dans le sens inverse, c'est qu'il faut partir dos au soleil. Les abeilles communiquent aussi par le biais de ""vibrations"": la vibration de ""toilettage"", qu'une abeille émet lorsqu'elle a besoin qu'une collègue la nettoie, ou encore la vibration du ""mendiant"", utilisée pour demander à manger à une copine.",,Comment,Elles échangent des produits chimiques,Elles utilisent leurs antennes,Enregistrements des chercheurs,Quel(le) ,Motiver les fainéantes,L'odorat,Une danse de demi-cercle
Le monde des animaux,"Une gonflée de grenouille? Une grenouille gonflée, va-t-elle s'éclater? En réalité, elle interprète un chant d'amour. Pour séduire les femelles, le male gonfle son sac vocal, une membrane de peau située sous sa gorge. Il pousse alors de longs et puissants cris, suivis de hurlements trés attirants pour les femelles... mais aussi pour les chauves-souris! Eh oui, meme si le chanteur se tait à la moindre ombre menaçante, les demoiselles ailées savent le repérer aux ondes qui se propagent autour de lui, à la surface d'eau, plusieurs secondes aprés les coassements... et elles utilisent cet indice pour lui couper le sifflet définitivement.",,Quand,Le jour et la nuit,d'Avril jusqu'à Juin,Lorsqu'il fait chaud,Comment,Celui qui chante le plus fort,Ils ont un appareil amplificatuer,Echo-localisation
Le monde des animaux,"Peut-on parler aux animaux? Si l'on veut causer gentiment à des animaux sauvages, il faut pouvoir s'approcher d'eux. Problème: ils ne s'attendent surement pas à recevoir un signal de communication de la part d'un humain! Pour transmettre leurs messages, les chercheurs commencent donc à utiliser des animaux robots. Les premières expériences montrent qu'il serait un jour possible de communiquer avec un très grand nombre d'animaux. Pour le moment, on est loin de comprendre toute la subtilité de leurs messages. Autrement dit, meme quand on les imite, on n'est pas encore absolument sur de ce qu'on leur dit vraiment.",,Pourquoi,Ne pas mettre les humains en danger,Cela fait peur aux animaux,Pour pouvoir les protéger,Que faut-il,Observer leurs comportements,Pouvoir déchiffrer les sons,Pouvoir amplifier des sons
Univers,"Quand observer le ciel? Première chose évidente pour faire de l'astronomie, il faut un ciel clair avec très peu de nuages. Si l'herbe est mouillée par exemple en fin de journée et qu'il fait assez froid, il risque d'y avoir de la brume et on ne peut pas voir les étoiles facilement. Pour le soleil c'est plus facile: l'idéal est de l'observer durant l'heure de midi car son image sera moins perturbée que le matin ou le soir. Pour observer la Lune, les planètes, les étoiles ou les galaxies il faut attendre la nuit. L'obseravtion peut se faire à l'oeil nu, mais pour agrandir l'image des objets, on peut utiliser une paire de jumelles, des lunettes astronomiques ou un téléscope.",,Pourquoi,Voir les détails de la Lune,Le soleil cache les étoiles,Voir plus d'étoiles,Comment,Utiliser une carte du ciel,Par une concentration d'étoiles,S'éloigner des éclairages
Univers,"La Voie lactée est le nom de notre Galaxie dans laquelle se situe notre système solaire. Il s'agit d'une grande galaxie spirale barrée, abritant entre 200 et 400 milliards d'étoiles, dont le Soleil, et mesurant environ 100 000 années-lumière de diamètre. La nuit, loin des éclairages provenant des villes, on peut facilement la distinguer. Autour de la Voie lactée se trouve un petit nombre de petites galaxies en orbite autour de la nôtre, ce sont des galaxies naines, qui sont plus petites et possèdent généralement une forme irrégulière. Autour de la Voie lactée, l'espace est relativement vide avec seulement quelques galaxies qui forment ce que l'on appelle le ""Groupe local"".",,Combien,100 milliards de planètes,Une trentaine de galaxies,2000 milliards de galaxies,A quoi,150 millions de kilomètres,Ronde et aplatie,Une bande blanchatre
Univers,"Le Big Bang Après plusieurs calculs, simulations sur ordinateurs et expériences faites dans des laboratoires de physique, on pense qu'au commencement des temps, l'univers avait une taille microscopique et contenait une quantité énorme d'énergie. Il n'existait donc pas de galaxies, ni d'étoiles, ni de planètes, rien. Au commencement donc, tout d'un coup, on pense qu'il y eut un sursaut d'énergie, comme une vague plus importante que les autres. Elle donna naissance à notre univers au cours d'un phénomène qui ressemble à une explosion et qu'on appelle le Big Bang. Cette énergie était tellement importante qu'elle créa toute la matière contenue dans l'univers.",,Quel,13.8 milliards d'années,Le grand boum,L'étoile,Pourquoi,Il était très chaud et dense,Il a atteint 10 millions de degrés,On se moquait de la théorie
Univers,"Le Système solaire est le nom donné à notre système planétaire, composé du Soleil et de l'ensemble des objets célestes qui l'accompagnent et tournent autour de lui. Ceci inclut les planètes, leurs satellites, les astéroïdes, les comètes. L'âge du Système solaire est estimé à 4,5 milliards d'années, environ. Notre Système solaire compte huit planètes gravitant autour du Soleil : Mercure, Vénus, Terre, Mars, Jupiter, Saturne, Uranus et Neptune. Il est aussi composé de quatre planètes naines: Cérès, Pluton, Eris et Hauméa. Une planète est dite naine selon trois critères: son diamètre, sa forme et si elle est en orbite autour du soleil.",,Quelle,Une étoiles,Forme sphérique,Jupiter,Combien,1000 à 2500 kilomètres,"Un seul, la Lune",Trois types
Univers,"Une constellation est un ensemble d'étoiles plus ou moins étendu qui représente une forme particulière à laquelle les Hommes ont donné un nom.  Ces formes se rapportent soit à des héros légendaires soit à des objets utilisés par l'homme. Dans l'hémisphère nord, la plus célèbre est la constellation de la Grande Ourse; elle est composée d'étoiles qui lui donnent la forme d'une casserole. Bien que les étoiles qui forment une constellation semblent être proches les unes des autres, ce n'est en général pas le cas. Les étoiles sont tellement éloignées de nous que l'on perd toute idée de perspective. Les constellations visibles changent en fonction de la période de l'année.",,Combien,4 étoiles principales,48 constellations,7 étoiles,Quand,Toute l'année,La nuit,Au moins 3 étoiles
Univers,"L'astéroïde est un corps céleste composé de roches et de métaux. Il est de taille variée et se déplace dans l'espace et tourne autour du Soleil (ou d'une autre étoile), il ne fait partie ni des planètes, ni des lunes. Sa taille peut varier de moins d'un centimètre à plusieurs centaines de kilomètres de diamètre. Le premier astéroïde a été découvert en 1801, il s'agit de Cérès, désormais une planète naine. Son orbite autour du Soleil forme des ellipses. Il y a 65 millions d'années, c'est un astéroïde de 14 kilomètres de diamètre qui s'est écrasé sur Terre, au large du Mexique, il est en partie responsable de la disparition des dinosaures.",,Comment,La taille d'une miniplanète,La taille d'une patate,En utilisant des jumelles,Que,Surveillance permanente,Faire exploser tout un continent,Un Tsunami
Protéger la nature,"Le développement durable est un ensemble d'idées, de moyens et de pratiques pour que la Terre et ses habitants ne souffrent pas trop de l'activité humaine dans le présent mais également dans le futur. Il vise à améliorer la qualité de vie. Son principe est de veiller à ce que le monde continue à se développer, mais sans porter atteinte à l'environnement. De ce fait, beaucoup de domaines sont concernés : économies d'énergie, pollution, gaspillage, déplacements, faune (les animaux), flore (les plantes)... Le développement durable est donc défini comme un développement qui répond aux besoins du présent sans poser de problèmes aux générations futures.",,Pourquoi,Nos ressources ne sont pas infinies,Son application coute cher,La notion est encore floue,Qui,Les pays,Les entreprises et les citoyens,Les défenseurs de l'environnement
Protéger la nature,"Qu'est ce qu'une source d'énergie renouvelable? ce sont des sources d'énergies qui se renouvellent assez rapidement et qui proviennent de phénomènes naturels. Elles sont l'opposé des énergies fossiles (celles qui sont tirées principalement du charbon, du pétrole et du gaz naturel), qui pourraient disparaître si on les consomme en très grande quantité et rapidement. De manière générale, les énergies renouvelables sont plus propres que les énergies fossiles actuellement exploitées dans le monde entier. Elles sont plus écologiques, disponibles en masse autour du globe et sont « gratuites » une fois les installations de production rentabilisées. Elles sont aussi appelées les ""énergies vertes"".",,Combien,"60 ans, selon les scientifiques","Trois: soleil, eau et vent.",5 grandes familles,Pourquoi,Ils produisent moins d'énèrgie,Leur installation est chère,Elles ne nuisent pas à la nature
Protéger la nature,"La biomasse On appelle ""biomasse"" les matières issues des végétaux et des animaux. Le bois, lorsqu'il brûle, dégage de l'énergie sous forme de chaleur. Aussi, le biogaz permet de produire de la chaleur et de l'électricité. Ce gaz est fabriqué à partir de matières provenant des êtres vivants laissées évoluer dans un milieu sans oxygène. La source de biomasse la plus utilisée en tant qu'énergie est actuellement le bois de chauffage. La biomasse est considérée comme source d'énergie renouvelable lorsque sa regénération est égale à sa consommation: par exemple, l’utilisation du bois ne doit pas conduire à une diminution du nombre d’arbres.",,Comment,La fermentation,La combustion,Déchets végétaux,Quel,La sur-exploitation de la ressource,Cela libère du CO2,La Suisse
Protéger la nature,"La géothermie est l'utilisation de la chaleur du sol, la chaleur des roches plus ou moins profondes ou bien celle de l'eau qui circule dedans, pour en récupérer de l'énergie. Cela peut servir au chauffage des bâtiments, directement ou bien avec une pompe à chaleur. Lorsque la température des roches ou de l'eau est au dessus d'environ 150 °C, il est possible de produire de l'électricité à partir de cette ressource. La géothermie est considérée comme une source d’énergie renouvelable. Il y'a vingt-et-un pays du monde qui utilisent la géothermie pour produire de l’électricité dont les Etats-Unis, l'Ethiopie et le Portugal.",,Quel(le),10° à 14° C,4000 mètres,Elle ne dépend pas du climat,Comment,Avec des tuyaux,3.3°C chaque 100 mètres,On creuse des puits
Protéger la nature,"L'eau est polluée à cause de l’activité humaine comme les bateaux ou les usines qui jettent leurs déchets et le non-traitement des égouts dans les pays pauvres, les causes sont extrêmement nombreuses. Elle est aussi polluée par les déchets sur la plage qui sont ramassés par la marée. Cette pollution peut avoir des conséquences graves sur la santé publique et sur la biodiversité. La pollution de l'eau affecte les fleuves, les lacs, et les océans. En Bretagne par exemple, certaines côtes ont été envahies par des algues et du plancton, celui-ci consomme le dioxygène dissout dans l'eau. L'eau devient alors trop pauvre en dioxygène et la faune et la flore ne peut plus y vivre.",,Quel(le),Inde,Déchets chimiques des agriculteurs,Systèmes de filtrage d'eau,Pourquoi,Pas de lois qui interdisent les déchets,Cause des maladies si on la boit,Elle contient des bactéries
Protéger la nature,"La pollution lumineuse, également appelée photopollution est la présence de lumière faite par des hommes dans l'environnement de nuit. Elle perturbe les écosystèmes et trouble la faune et la flore. On parle de pollution lumineuse lorsque les éclairages artificiels sont si nombreux qu'ils nuisent à l'obscurité normale et souhaitable de la nuit. Ainsi, à la tombée de la nuit, d'innombrables sources de lumières artificielles (lampes allumées sans cesse dans les rues,...) prennent le relais du soleil dans les centres urbains jusqu'au plus petit village. La pollution lumineuse a des effets sur la santé humaine et aussi un impact sur la faune comme la disparition de certains insectes. ",,Pourquoi,ça masque les étoiles,Cela perturbe la chaine alimentaire,Décélère la croissance des plantes,Quel(s),Désorientation des oiseaux migrateurs,Troubles de sommeil,Les Etats-Unis et la France
Sports ,"Porter de femme - Finlande, c’est une activité physique de course d’obstacles avec le poids de l’amour en plus ! Cette discipline sportive consiste à parcourir une course d’obstacles longue de 250 mètres tout en portant sa compagne. Celle-ci doit peser au minimum 49 kilos ou être lestée en conséquence pour s’ajuster. Pour gagner, l’homme doit porter sa femme sur le dos et terminer un parcours d’obstacles le plus rapidement possible sans laisser tomber sa compagne. C’est une belle allégorie de la vie commune pour certains et sans aucun intérêt pour d’autres. La compétition accueille chaque année quelques milliers de spectateurs.",,Comment,Sur le dos,C'est une piste en sable,Avec un casque,Quel(le),Il y'a un obstacle sec,Le poids de la femme en bières,Il y'a un obstacle d'eau
Sports ,"Chess Boxing - Allemagne Le chess boxing est un mélange de boxe et de jeu d’échecs. C’est un sport qui requiert à la fois de l’intelligence et des muscles. Depuis 1992, ce sport s’est mondialisé et des pays tels que l’Angleterre, l’Allemagne, les Pays-Bas et la France. Les joueurs doivent être compétents à la fois en boxe et aux échecs. L’objectif de la boxe aux échecs est de battre son adversaire en alternant les parties d’échecs et de boxe. Les matchs peuvent être gagnés dans l’une ou l’autre des disciplines, les échecs se terminant par un échec et mat et la boxe par un arrêt ou un match nul.",,Comment,Il est inspiré d'une bande déssinée,Ils mettent un casque anti-bruits,K-O ou échec et mat,Combien,Une minute,11 au maximum,Quatre minutes
Sports ,"Le hockey sous-marin - Canada, est un sport où deux équipes s’affrontent dans l’espoir de pousser une palet de hockey fluorescent dans le but de leur adversaire. Avec le palet au centre de la piscine, une équipe de six joueurs plonge au fond de l’eau en attendant le signal de l’arbitre. Au son du signal, les joueurs sont autorisés à nager dans toutes les directions dans l’aire de jeu afin de déplacer la rondelle dans le but de leur adversaire. Pour jouer au hockey sous-marin, vous devez savoir nager, avoir des bâtons de hockey, faire du plongeon et porter un masque de plongée et un bonnet. Il y'a deux arbitres.",,Pourquoi,Il faut un fond plat,Pour bien le repèrer,Il faut un sous l'eau et un en dehors,Comment,Noirs ou blancs,Caméra aquatique,Par des gestes
Sports ,"Le ninja volleyball - Thailande, c'est un jeu de volley-ball à pied où les joueurs touchent et manipulent le ballon en utilisant uniquement leurs pieds, leurs genoux, leur poitrine et leur tête. Très populaire dans toute l’Asie du Sud-Est, ce jeu se joue avec un ballon en rotin ou synthétique. Comme au volley-ball, ici aussi deux équipes de joueurs essaient de contrôler le ballon et tentent de le faire passer au filet pour le faire passer du côté adverse. Si le ballon ne passe pas le filet, l’équipe adverse marque un point et la première équipe qui marque le maximum de points est déclarée gagnante.",,Comment,Sepak takraw,Un sport national,Une manche est rajoutée,Combien,2 manches,21 points,3 joueurs
Sports ,"Le cheese rolling - Royaume-Uni, Les participants descendent la colline en courant derrière un fromage (le Double Gloucester) ; la première personne à franchir la ligne d'arrivée remporte le fromage. En théorie, le gagnant est censé avoir attrapé le fromage, mais comme celui-ci est lancé avant les concurrents et peut atteindre une très grande vitesse donc voici pourquoi il changèrent un peu les règles du jeu pour remporter le fameux fromage. En 1997 un spectateur fut blessé par le fromage mais cela arrive rarement. Chaque année une compétition est organisée et des ambulances sont prévues en bas de la collines.",,Quel(le),4 kilogrammes,100 mètres,100km/heure,Pourquoi,Les participants tombent dans la colline,L'attraper est presque impossible,Le terrain est en mauvais état
Sports ,"Le repassage extreme, ce sport est totalement énorme. Le concept: prendre une planche à repasser dans le lieu le plus dangereux du monde ou de votre quartier, puis de repasser quelques vêtements.  Le repassage extrême est un sport qui amène le multitâche à un tout autre niveau. Le repassage extrême combine l’acte de repasser et un sport dangereux comme le parachutisme ou la plongée profonde. Il y a eu plusieurs performances de repassage extrêmes dans des endroits incongrus : au sommet d’immenses statues, en canoë, sur de hautes montagnes et même dans les airs avec un parachute. Il y'a meme des compétitions officielles.",,Combien,"Un seul, en Allemagne",10 pays,1005 participants,Qui,Une marque de fers à repasser,Une équipe sud-africaine,Phil Shaw